foldername|placemark|reportid|reportdesc|county|reportdate|lng|lat
October 1997|October 1997|Report 8429|Afternoon sighting by mother and daughter in Honey Island Swamp|Pearl River County|1997-10-12|-89.6918|30.46825
August 1981|August 1981|Report 13347|Possible daylight sighting by boy near Meridian|Lauderdale County|1981-08-15|-88.65135|32.31255
December 1996|December 1996|Report 8116|People see large, hairy animal near road|Harrison County|2004-02-28|-94.37361|32.65
October 2010|October 2010|Report 35789|Possible wood knocks heard by a photographer near Quitman|Clarke County|2010-10-21|-88.68893|32.09515
February 2013|February 2013|Report 39764|Possible night screams heard near Burnsville|Tishomingo County|2013-02-16|-88.26655|34.735
November 1990 appro|November 1990 appro|Report 562|Hunting party reports frightening vocalization|Lewis And Clark County|1990-11-10|-112.5649|47.07954
September 1994|September 1994|Report 1518|Campers hear something running through camp &amp; find very large footprints|Granite County|1994-09-30|-113.6925|46.18694
1981|1981|Report 1533|Motorist &amp; passenger see white creature standing off I-15|Lewis And Clark County|1981-12-20|-111.9625|47.07444
December 1988|December 1988|Report 1757|Two separate sets of large footprints found|Silver Bow County|1988-12-15|-112.571|46.05292
July 1978|July 1978|Report 10260|Four climbers report repeated vocalizations|Lincoln County|1978-07-04|-115.6418|48.27011
January 2005|January 2005|Report 10357|Two men report powerful vocalizations behind neighborhood|Missoula County|2005-01-23|-114.08|46.75889
June 2003|June 2003|Report 12636|Video taken of running biped near Avalanche in Glacier National Park|Glacier County|2003-06-18|-113.82|48.68
October 2007|October 2007|Report 21907|Possible sighting and wood knocks heard near Swan Lake|Flathead County|2010-03-20|-113.7593|47.60413
October 1978|October 1978|Report 30384|Cousins view a large biped figure on opening day near Virginia City|Madison County|1978-10-21|-111.563|45.12266
August 2010|August 2010|Report 34024|After exploring old gold mines a rock is thrown at a moving vehicle near Georgetown|Granite County|2010-10-22|-113.1424|46.30766
June 2012|June 2012|Report 36008|Photograph taken of a figure sitting by a creek outside Red Lodge|Carbon County|2012-06-30|-109.5528|45.28074
September 2006|September 2006|Report 36727|Biologist observes a biped on a ridge outside Missoula|Missoula County|2006-09-13|-114.0725|46.96508
September 2012|September 2012|Report 36759|Deer hunter on the Flathead Indian Reservation passes a tall biped on the roadside|Flathead County|2012-09-16|-144.0265|47.57549
November 2012|November 2012|Report 37974|Elk hunter finds large bi-pedal tracks on Mount Baldy|Broadwater County|2012-11-24|-111.2644|46.48392
July 2012|July 2012|Report 40412|Morning hike turns a veterinarian and her family into believers near Missoula|Missoula County|2012-07-20|-113.5911|46.5252
December 2012|December 2012|Report 41782|Man-like figure seen running along a tree-line off Hwy. 12 near Checkerboard|Meagher County|2012-12-02|-110.6268|46.59692
September 2000|September 2000|Report 450|Possible vocalizations heard by campers on the Blueridge Parkway|Mitchell County|2000-09-09|-81.98335|35.8934
December 2000|December 2000|Report 2054|Tracks found before Christmas, near Hendersonville|Henderson County|2000-12-19|-82.4831|35.36
March 1987|March 1987|Report 2149|Park Rangers and residents of Glendale Springs observe large footprints in deep snow|Ashe County|1987-03-22|-81.38915|36.3461
October 2001|October 2001|Report 3270|Two experienced campers hear vocalizations unlike any thay are familiar with|Burke County|2001-10-20|-81.80479|35.83845
September 1998|September 1998|Report 3331|While out trout fishing, father and son come across one big footprint in the sand|Caldwell County|1998-09-09|-81.7418|35.94585
July 1987|July 1987|Report 3334|Man hits 7 foot tall, reddish-brown creature with his car, then is pursued by the creature|Onslow County|1987-07-15|-77.5873|34.7576
1998|1998|Report 3336|Person awakes to a 'howling' or 'wailing' sound just outside the house; he compares the sound to a recorded howl of a bigfoot|Pender County|1998-03-31|-77.7485|34.3924
January 1/5/1998|January 1/5/1998|Report 3338|Long trail of 13 long human-like footprints found in deep snow and rough terrain|Swain County|1998-01-05|-83.5214|35.5605
March 1988|March 1988|Report 3339|Deep impressions seen in the snow|Yancey County|1988-03-15|-82.26195|35.74875
1975|1975|Report 4763|Hikers find footprint in Great Smoky Mountains National Park.|Swain County|1975-07-12|-83.5582|35.5131
1968|1968|Report 6960|Early morning vocalizations heard near Rainbow Creek|Greene County|1968-10-16|-77.67995|35.42525
April 2004|April 2004|Report 9212|Rural residents disturbed by nighttime activity near Buffalo Creek|Orange County|2004-05-12|-78.968|36.2058
September 1986|September 1986|Report 9218|Just after sundown, driver has sighting close to Carter Mountain|Buncombe County|1986-09-16|-82.4614|35.7909
January 1999|January 1999|Report 10776|Mother and daughter find footprints in their front yard in Pilot Mountain.|Surry County|1999-01-16|-80.46865|36.38287
July 2005|July 2005|Report 12333|Possible vocalization in the Blue Ridge Mountains|Jackson County|2005-07-02|-83.007|35.211
October 2003|October 2003|Report 12640|Possible vocalization in Great Smoky Mountain National Park|Haywood County|2005-12-02|-83.26097|35.89305
December 1976|December 1976|Report 13378|Menacing commotion at night, tracks in snow the next morning, out Yadkinville|Yadkin County|1976-12-12|-80.66|36.134
December 2002|December 2002|Report 14075|Camper describes possible vocalization and rock throwing outside Franklin.|Macon County|2002-12-07|-83.23206|35.10486
93-98|93-98|Report 15520|Possible vocalizations heard periodically over the years outside Lexington|Davidson County|1998-11-15|-80.2068|35.87885
August 2006|August 2006|Report 15554|Man describes his wife's observation of a very tall figure outside their home near King's Mountain|Cleveland County|2006-08-17|-81.402|35.194
August 1989|August 1989|Report 18680|Soldier on maneuvers finds large, human-like footprints at Fort Bragg|Cumberland County|1989-08-09|-79.11128|35.1312
April 2007|April 2007|Report 18943|Possible pre-dawn approach to property outside Winston-Salem|Davidson County|2007-05-03|-80.2084|35.95815
January 2006|January 2006|Report 19015|Possible vocalization and approach to tents reported by campers on private land near Pilot Mountain|Stokes County|2007-05-10|-80.375|36.48615
July 2008|July 2008|Report 24264|Possible howls heard in the Three Top Mountain area|Ashe County|2008-07-21|-81.56219|36.42315
October 2008|October 2008|Report 26013|Deer hunter finds possible footprint near Ellerbe|Richmond County|2008-10-18|-79.88049|35.0554
December 2009-2010|December 2009-2010|Report 27906|Unknown early morning visitor heard by a youth leader in the Uwharrie National Forest|Montgomery County|2010-12-04|-80.03551|35.31924
June 2010|June 2010|Report 28381|Campers hear multiple whooping sounds at Linville Falls|Avery County|2011-06-17|-81.95195|35.95865
January 2012|January 2012|Report 32447|Possible vocal interaction with children playing at dusk near Hot Springs|Madison County|2012-01-22|-82.87408|35.7695
May 1977|May 1977|Report 33358|Military officer recalls possible daylight sighting while driving in the Croatan National Forest|Carteret County|1977-05-21|-77.10508|34.79914
October 2011|October 2011|Report 41040|Campers awakened by heavy bipedal footsteps in Uwharrie National Forest|Montgomery County|2011-10-24|-80.69763|35.43787
June 2013|June 2013|Report 41506|Fisherman reports possible sightings and activity around Lake James|Burke County|2013-06-26|-81.77603|35.78043
August 2012|August 2012|Report 42580|Motorists have a possible late night sighting outside Seagrove|Randolph County|2012-08-17|-79.75537|35.56577
October 2013|October 2013|Report 43204|Possible early evening sighting while driving by a vineyard near Taylorsville|Alexander County|2013-10-18|-81.20877|35.84103
November 2014|November 2014|Report 47026|Camper is subjected to possible intimidation behavior in the Uwharrie National Forest|Montgomery County|2014-11-08|-80.01653|35.35636
February 2004|February 2004|Report 8130|Tribal government employee photographs line of tracks in snow|McKenzie County|2004-02-26|-102.7291|47.63297
July 1979|July 1979|Report 6410|Multiple witness sighting at night, 3 miles east of Mead, Nebraska|Saunders County|1979-07-04|-96.42668|41.2333
October 2006|October 2006|Report 16432|Possilble daylight sighting by hikers (at 300-400 yds.) in Chadron State Park|Dawes County|2006-10-29|-103.018|42.71425
September 1998|September 1998|Report 22577|Three witnesses encounter a large creature while walking down a gravel road outside South Sioux City|Dakota County|1998-09-15|-96.46025|42.47356
September 2003|September 2003|Report 23046|Three witnesses observe large creature run in front of them while parked in Red Cloud State Park|Dawes County|2003-09-15|-103.0044|42.69657
September 1997|September 1997|Report 28090|Motorist has possible night time sighting near Dorchester|Saline County|1997-10-15|-97.13196|40.64043
January 2001|January 2001|Report 1975|Couples hears late night scream in Loudon|Merrimack County|2001-01-10|-71.46778|43.28556
September 2004|September 2004|Report 9313|Vocalizations heard near Rockingham|Rockingham County|2004-09-12|-70.93333|43.05
September 2014|September 2014|Report 48403|Farmer hears possible nighttime vocalizations outside Errol|Coos County|2014-09-15|-71.1794|44.79969
November 1995|November 1995|Report 10249|Night time sighting in Wharton State Forest, within five miles of Batsto|Burlington County|2005-12-23|-74.6298|39.652
January 1994?|January 1994?|Report 12825|Possible vocalizations heard in undeveloped section of Ocean County|Ocean County|2005-11-13|-74.2975|39.7384
September 1987|September 1987|Report 13276|Motorist has nightime sighting near Harmony|Warren County|2005-12-21|-75.11044|40.76345
June 1975|June 1975|Report 13310|Possible sighting near Supawna Meadows National Wildlife Refuge|Salem County|2006-02-01|-75.5167|39.632
October 1981|October 1981|Report 14232|Possible Nightime Encounter In Wharton State Forest|Burlington County|2006-04-07|-74.70135|39.8234
June 2006|June 2006|Report 15062|Possible intimidation in the Pine Barrens|Ocean County|2006-07-27|-74.3966|39.934
August 2000|August 2000|Report 16248|Possible vocalization heard by fisherman at Monksville Reservoir|Passaic County|2007-01-15|-74.29085|41.1445
May 1983|May 1983|Report 16486|Man recalls incident during childhood -- possible vocalizaitons near Split Rock Reservoir Dam|Morris County|2007-02-01|-74.45995|40.9575
April 2006|April 2006|Report 16604|Possible sighting by motorist at dusk outside Livingston|Essex County|2006-12-17|-74.3516|40.77545
August 2007|August 2007|Report 20608|Late night vocalization heard by fishermen north of Flemington|Hunterdon County|2008-09-04|-74.84528|40.60667
March 2006|March 2006|Report 21977|Possible Wood Knock Interaction at Wildcat Ridge near Rockaway|Morris County|2007-11-09|-74.46155|40.9427
February 1995|February 1995|Report 22192|Possible screams and stalking heard by seven campers out Newton|Sussex County|1995-02-01|-74.78004|40.99567
July 1989|July 1989|Report 24738|Man recalls incident years before among homes near Brick|Ocean County|2009-01-25|-74.1301|40.053
October 2008|October 2008|Report 24928|Possible wood knocks heard near Hibernia Bat Cave/Wildcat Ridge in Rockaway|Morris County|2009-10-30|-74.49518|40.93552
June 1990|June 1990|Report 34572|Man recalls hearing strange howls while camping in High Point State Park|Sussex County|1990-06-15|-74.68832|41.29596
1979|1979|Report 38762|Woman recalls seeing something strange cross the road while driving at dusk near Ringwood|Passaic County|1979-08-15|-74.15562|41.06945
1991|1991|Report 39639|Campers retreat to their vehicles due to a loud unknown vocalization near High Point State Park|Sussex County|1991-07-01|-74.6854|41.30566
May 2000|May 2000|Report 4904|Professor and students discover series of large footprints crossing high mountain trail|Taos County|2000-05-17|-105.4113|36.599
June 2004|June 2004|Report 10126|Possible night time sighting by a resident in the Carrizo neighborhood of Mescalero IR|Otero County|2004-06-02|-105.7197|33.2516
June 2005|June 2005|Report 11976|Vocalizations heard near Dulce|Rio Arriba County|2005-06-21|-106.9958|36.91475
June 2005|June 2005|Report 11992|Late night vocalizations heard near Dulce|Rio Arriba County|2005-06-26|-106.9547|36.7657
August 2005|August 2005|Report 12271|Possible visitation at a camp, 10 miles northeast of Whiskey Lake.|San Juan County|2005-08-06|-108.8548|36.14505
August 2005|August 2005|Report 12418|Various sounds heard during the BFRO's Jemez Mts. expedition.|Rio Arriba County|2005-08-11|-106.9571|36.095
October 2005|October 2005|Report 12915|Zoologist hears wood knocking.|San Juan County|2005-10-11|-109.0612|36.39135
October 2006|October 2006|Report 16207|Possible vocalizations, knocks heard by hunters in the Gallegos peak area|Taos County|2006-10-02|-105.5596|36.19625
November 1982|November 1982|Report 20011|Hunters experience powerfull knocks on camper and hear vocalizations outside Jicarilla Indian Reservation|Rio Arriba County|1982-01-11|-107.1612|36.4178
March 2008|March 2008|Report 23585|Mescalero Reservation resident sees silhouetted figure swaying at window, large footprints outside house|Otero County|2008-03-12|-105.7338|33.27094
September 1970|September 1970|Report 5692|Father and son hear vocalizations on Peavine Mt|Washoe County|1970-09-01|-119.975|39.592
August 1972|August 1972|Report 5770|Four feral dogs chase sasquatch|Washoe County|1972-08-25|-119.6665|39.679
February 2005|February 2005|Report 20780|Hikers spot a dark figure walking on a snowy mountainside near Winnemucca|Humboldt County|2005-02-15|-118.1806|40.52737
May 1997|May 1997|Report 7514|Video footage shot at dusk shows a primate in a tree in the background.|Ulster County|1997-05-23|-74.0863|41.66955
May 1999|May 1999|Report 7872|Camper hears strange screams at Indian Lake|Hamilton County|1999-05-28|-74.75611|43.61833
January 2001|January 2001|Report 7890|Two hunters experience vocalizations and encounter very large unknown animal|Tioga County|2001-01-01|-76.17366|42.40489
August 2002|August 2002|Report 7939|Powerful vocalizations heard near town of Albion, NY|Orleans County|2002-08-22|-78.1946|43.2265
June 2004|June 2004|Report 8905|Three men have a late night encounter with a bi-pedal figure|Monroe County|2005-07-27|-77.664|43.2696
May 1992|May 1992|Report 11089|Two young boys experience powerful, high-pitched vocalization|Orleans County|1992-05-01|-78.28014|43.26886
May 1985|May 1985|Report 11630|Dusk and evening sightings around Stissing Mountain|Dutchess County|1985-05-01|-73.66616|41.97341
October 2002-2003|October 2002-2003|Report 11956|Unusual events at remote family cabin near Keene Valley, NY|Essex County|2005-12-28|-73.8094|44.1856
February 2005|February 2005|Report 14035|Possible night time sighitng  by motorist on Chazy Lake Road outside Saranac|Clinton County|2005-02-15|-73.73606|44.66399
October 2005|October 2005|Report 14373|Possible daylight stalking and knocking heard by hunter near Deposit|Delaware County|2005-10-01|-75.38025|42.0837
September 2004|September 2004|Report 15144|Possible red eyeshine in woods near Garrison, New York|Putnam County|2004-09-20|-73.91649|41.38084
June 2006|June 2006|Report 15191|Possible daylight sighting by motorist near Minerva|Essex County|2006-07-10|-74.00528|43.81495
November 1999|November 1999|Report 15398|Possible tracks &amp; smell noticed by hunter at Black Mountain outside Whitehall|Washington County|1999-11-01|-73.45947|43.56211
May 2002|May 2002|Report 15565|Possible vocalizaitons heard approx. two miles from Sabbath Day Point|Warren County|2002-05-11|-73.51238|43.6678
March 2006|March 2006|Report 15566|Possible vocalizations heard near Sabbath Day Point|Warren County|2006-03-31|-73.56614|43.66344
1980-82|1980-82|Report 16540|Possible stalking of hikers on Prospect Mt. near Lake George|Warren County|2006-11-26|-73.741|43.42645
November 2003|November 2003|Report 19836|Campers describe incidents over 3-4 hours with unseen animal near their camp outside Prattsburgh|Steuben County|2003-11-09|-77.36516|42.54346
August 2000-2001|August 2000-2001|Report 20363|Campers describe a possible approach to a camp near Lake George, Adirondacks|Warren County|2001-08-15|-73.52|43.7268
August 2007|August 2007|Report 21488|Female hiker describes rocks being thrown at her and female companion near Sabbath Day Point|Warren County|2007-08-18|-75.57448|43.64706
1966|1966|Report 22561|Man recalls childhood observation - large tracks with long stride in snow - near Mayfield|Fulton County|1966-01-15|-74.27923|43.0949
July 07|July 07|Report 23856|Campers hear and see possible bigfoot pass by tents on Nuclear Lake|Dutchess County|2007-07-15|-73.64642|41.59773
March 2009|March 2009|Report 25661|Wood knocks heard and tracks found near Canton|St. Lawrence County|2009-03-18|-75.58825|44.62185
2004|2004|Report 25913|Two men see a 7' tall biped in their headlights while driving near Caroga Lake|Fulton County|2004-06-16|-74.47383|43.13206
July 2009|July 2009|Report 26338|Possible vocalizations heard by campers In Lake Luzerne area|Warren County|2009-07-26|-73.81|43.32
October 1972|October 1972|Report 27035|Man recounts childhood incident at his home on Oneida Lake|Oneida County|1972-10-28|-75.73906|43.1546
January 1999|January 1999|Report 28244|Young girls remember seeing a hair-covered creature running under a streetlight near Belmont|Allegany County|1999-01-16|-77.98756|42.24542
September 2010|September 2010|Report 28570|Possible nighttime encounter outside a home north of Northville|Hamilton County|2010-09-24|-74.15429|43.30679
September 2000|September 2000|Report 257|Mother describes possible observations by children near Tipp City, along Miami River|Miami County|2000-09-01|-84.1735|39.9784
August 1999|August 1999|Report 982|Tracks found in West Branch State Park|Portage County|1999-08-15|-81.11578|41.13021
November 1988-1989|November 1988-1989|Report 1018|A man driving stops to watch a hair covered creature walk across a cornfield|Clark County|1989-11-01|-83.64597|39.92821
August 1999|August 1999|Report 2332|Three men are awakened by a series of loud screams identical to those of the BFRO website|Guernsey County|1999-08-01|-81.39827|39.95329
November 1999|November 1999|Report 3350|large footprints found.|Allen County|1999-11-01|-83.93892|40.65572
January 1981|January 1981|Report 3352|Large footprint found in sandbar|Adams County|1981-01-31|-83.40573|38.89665
November 1998|November 1998|Report 3533|Hunter hears late night wood knocking near Nelsonville, by Wayne Nat'l Forest|Athens County|1998-11-19|-82.24155|39.47642
April 2001|April 2001|Report 3535|Two witnesses find animal carcasses in possible display arrangement, near Coshocton on the Woodbury Wildlife Refuge|Coshocton County|2001-04-15|-82.1334|40.25597
March 1998|March 1998|Report 3589|Two witnesses find tracks, and arranged animal remains, in Woodbury Gameland|Coshocton County|1998-03-15|-81.96845|40.2287
May 1999|May 1999|Report 4201|Sighting by motorist along Route 6|Ashtabula County|1999-05-30|-80.54558|41.72735
October 2000|October 2000|Report 4299|Two men training a hunting dog hear a loud, deep scream then briefly witness a large hairy thing cross a small clearing|Erie County|2000-10-29|-82.82491|41.42364
May 1988|May 1988|Report 4310|Footprints discovered along a creek on a sand bar|Coshocton County|1988-05-19|-81.99847|40.35097
June 1993|June 1993|Report 4458|Father and son hear screams identical to the one on the BFRO website.|Hancock County|1994-06-01|-83.43667|41.14896
May 2000|May 2000|Report 4555|Large footprints found by individual while he was repairing a fence.|Coshocton County|2000-05-07|-81.99955|40.3244
May 1998|May 1998|Report 4950|Sighting by camper in Harrison County near Tappan Lake|Harrison County|1998-05-30|-81.26559|40.33345
October 1987|October 1987|Report 4957|Hunter has dusk sighting in Oberlin area|Lorain County|1987-10-15|-82.21939|41.27939
1978|1978|Report 4960|Sighting by motorists along Poe Rd|Medina County|1978-09-30|-81.82391|41.09302
February 1994|February 1994|Report 4961|Nightime sighting on SR 78 near Woodsfield|Monroe County|1994-02-15|-81.02917|39.75531
August 1988|August 1988|Report 4962|Hunter states that vocalizations heard near Batesville are identical to recordings on BFRO site|Noble County|1988-08-01|-81.28671|39.93154
1976|1976|Report 4966|Large footprints, area of matted grass and sounds of bipedal footsteps noted along shores of Aurora Lake|Portage County|1976-08-01|-81.38112|41.31405
April 1997|April 1997|Report 4967|Loud vocalizations and other noises heard late at night near railroad tracks.|Portage County|1997-04-15|-81.32425|41.17646
November 1970|November 1970|Report 4968|Tracks found along soybean field near Edinburgh|Portage County|1970-11-01|-81.1414|41.10715
1983|1983|Report 4969|Silhouette seen protruding above brushline near Mogadore Reservoir.|Portage County|1983-07-31|-81.3741|41.06499
September 1978|September 1978|Report 4972|Vocalizations heard by fisherman on Twin Creek|Preble County|1978-09-01|-84.48506|39.64146
1996|1996|Report 4974|Vocalizations heard near Clearfork Reservoir|Richland County|1996-07-01|-82.64864|40.74705
1977|1977|Report 4975|Sighting at Camp Oyo Boy Scout Camp on Rt. 125|Scioto County|1977-10-31|-83.18179|38.77727
June 1988|June 1988|Report 4980|Night sighting near Sandyville|Tuscarawas County|1988-06-15|-81.34993|40.62147
October 1983|October 1983|Report 4981|Late night encounter by Coon hunters near Byhalia|Union County|1983-10-31|-83.44371|40.47326
1956|1956|Report 4982|Personal encounter of a camper as well as a history of encounters concerning his family members, dating back 40 years.|Vinton County|1956-01-01|-82.3997|39.25109
October 2000|October 2000|Report 5013|Campers have encounter at night close to Tappan Lake|Harrison County|2000-10-01|-81.25576|40.42655
October 2002|October 2002|Report 5076|Multiple wood on wood sounds heard in the Beach City Wildlife area|Tuscarawas County|2002-10-12|-81.5693|40.6298
October 1995|October 1995|Report 5259|While driving to a job a man witness's an unknown eight foot tall biped cross the road|Portage County|1995-10-01|-81.1455|41.2599
November 1997|November 1997|Report 5262|Woman see's a large bear like thing standing next to dumpster. The next day she finds large human like five toed tracks where it was standing heading into the woods|Trumbull County|1997-11-01|-80.62124|41.1462
November 2002|November 2002|Report 5406|A family is hearing howling behind their home identical to the howls on the BFRO website|Portage County|2003-11-02|-81.22745|41.3235
August 1987|August 1987|Report 5778|Couple horseback riding catch a glimpse of unknown creature followed by a nasty smell and a loud moaning scream|Jefferson County|1987-08-07|-80.89606|40.54269
Late 70s|Late 70s|Report 6848|Human-like footprints are found around a garage heading back into a remote hollow|Jefferson County|1978-12-01|-80.64211|40.34042
1997|1997|Report 7493|Outdoor photographer hears a howl/scream on two separate occasions that were identical to the sounds on the Sightings television show.|Columbiana County|1997-10-01|-80.59236|40.72943
1967|1967|Report 7830|Two teenagers witness something running from a pack of dogs on two legs, screaming very loud. The next day large five toed tracks are found|Lorain County|1967-07-01|-82.12263|41.38274
1986 until a few years ago.|1986 until a few years ago.|Report 7832|A man has heard similar cries in the night for over 15 years that were noted in another BFRO report from the same location|Portage County|1987-07-01|-81.37181|41.16187
June 2001|June 2001|Report 8006|Strange vocalizations heard near a ravine just outside of Steubenville.|Jefferson County|2001-06-01|-80.67828|40.3725
January 1958|January 1958|Report 8086|A series of large, human-like footprints are found on a farm near Wayne National Forest|Noble County|1958-01-15|-81.40079|39.63382
April 2004|April 2004|Report 8450|Property owners hear loud vocalizations in early morning and have a possible sighting near Clearcreek Metro Park|Fairfield County|2004-04-03|-82.6353|39.5246
April 2004|April 2004|Report 8843|Vocalizations heard and tracks found at Salt Fork State Park|Guernsey County|2004-04-17|-81.49697|40.0799
July 2004|July 2004|Report 9022|While staying in cabins, sleepers awakened in early morning by strange sounds and notice unusual smell in Appalachian foothills|Harrison County|2004-07-18|-81.2558|40.42687
June 2004|June 2004|Report 9042|A woman has close sighting through living room window, very near the Zaleski State Forest|Vinton County|2004-06-20|-82.27037|39.24523
August 2004|August 2004|Report 9766|Motorist has a brief daylight sighting at the edge of Huber Heights|Montgomery County|2004-08-15|-84.15971|39.8494
July 1982|July 1982|Report 10421|A couple has a frightening encounter in Shawnee State Forest.|Scioto County|1982-07-21|-83.12916|38.68516
August 1998-00|August 1998-00|Report 11248|A series of sound reports, footprint finds and a sighting from a family living near New London.|Huron County|1999-08-01|-82.41861|41.0672
April 2003|April 2003|Report 11946|Footprints and vocalizations culminate in a brief sighting for a family living near Savannah.|Ashland County|2003-04-07|-82.38627|40.99562
July 2005|July 2005|Report 12157|Motorist sees hairy biped crossing road by Cuyahoga Valley National Park|Summit County|2005-07-12|-81.57021|41.35208
June 1980|June 1980|Report 12220|Possible approach to a dwelling between Calcutta and East Liverpool|Columbiana County|1980-06-15|-80.57396|40.69334
June 1982|June 1982|Report 12597|Night encounter near rural home outside Crooked Tree|Noble County|1982-06-19|-81.47081|39.64081
October 1983|October 1983|Report 12669|Possible tracks found by hunters outisde Mechanicsburg|Champaign County|1983-10-15|-83.56088|40.01979
April 1985-86?|April 1985-86?|Report 12736|Student hears vocalization near the Cuyahoga River|Portage County|1986-04-16|-81.33134|41.15845
September 1988|September 1988|Report 12789|Night time sighting by resident near Germantown|Montgomery County|1988-09-14|-84.36754|39.61205
March 1995|March 1995|Report 13882|Road crossing sighting outside Cleveland - St. Rt. 82 near the CVRA|Summit County|1995-03-11|-81.56152|41.31609
1974|1974|Report 14223|Possible night time sighting by hunters in a marsh near Port Clinton|Ottawa County|1974-04-20|-83.06977|41.48962
August 2005|August 2005|Report 15088|Possible approach at night near Chesterland|Geauga County|2005-08-14|-81.28275|41.50086
July 2006|July 2006|Report 15371|Possible sighting by teens in Salt Fork State Park|Guernsey County|2006-07-28|-81.52101|40.11632
August 2006|August 2006|Report 15430|Mother describes possible sightings by her children outside their rural home in Auburn Township|Geauga County|2006-08-04|-81.27506|41.38199
August 2005|August 2005|Report 15876|Possible stalking near Salt Fork Lake spillway (drains into Wills Creek)|Guernsey County|2005-08-12|-81.5518|40.1138
2003|2003|Report 15969|Possible daylight sighting on horse trail in Beaver Creek State Park|Columbiana County|2007-01-10|-80.616|40.725
September 2002|September 2002|Report 16489|Camper describes trees shaken and possible encounter near Waverly|Ross County|2002-09-07|-82.79665|39.10495
August 1991|August 1991|Report 17189|Close encounter remembered and possible vocalizations heard and recorded near Minerva|Stark County|1991-08-15|-81.27147|40.75079
July 2004|July 2004|Report 17317|Possible vocalization heard by fishermen at Tappan Lake.|Tuscarawas County|2007-02-28|-81.1188|40.20275
October 2002|October 2002|Report 17388|Possible vocalizations heard by bow hunters near Malaga|Belmont County|2002-10-15|-81.20422|39.86019
December 2007|December 2007|Report 22569|Motorist has a possible, brief daylight sighting in the Cuyahoga Valley|Summit County|2007-12-24|-81.60838|41.25248
June 2008|June 2008|Report 23980|Woman recounts possible night time encounter near Mogadore|Portage County|2008-06-11|-81.3654|41.05931
March 2005|March 2005|Report 24356|Two fishermen hear possible vocalizations then find footprints west of Warren|Trumbull County|2005-03-01|-89.34647|39.74678
August 1976|August 1976|Report 24435|Man sees silhouette of an 8'-9' tall creature looking back at him from a cornfield near Canton|Stark County|1976-08-10|-81.32337|40.79362
April 2006|April 2006|Report 25724|Possible sighting at dusk on family property outside Youngstown|Mahoning County|2006-04-01|-80.85832|41.12884
May 2009|May 2009|Report 25948|Man hears characteristic howls in early morning hours near Mechanicstown|Carroll County|2009-05-10|-80.90944|40.64049
June 2009|June 2009|Report 26149|Fishermen experience possible early morning vocalizations and rock throwing at East Fork Lake|Clermont County|2009-06-16|-84.1317|39.03501
October 2009|October 2009|Report 26830|Group finds possible Bigfoot track in Wayne National Forest - w/photos of track and cast|Washington County|2009-10-31|-81.37085|39.42635
July 2010|July 2010|Report 27972|Family camping at Shawnee State Forest has possible encounter|Scioto County|2010-07-06|-83.12891|38.69322
October 2010|October 2010|Report 28499|Possible bigfoot activity and interesting photos taken at Clear Creek Park|Fairfield County|2010-10-09|-82.63536|39.59947
November 2010|November 2010|Report 28531|Witness describes possible vocalization near Bath|Summit County|2010-11-18|-81.64181|41.16984
December 2010|December 2010|Report 28730|Possible vocalizations heard while training hunting dogs near Atwater|Portage County|2010-12-15|-4.054427E+07|41.00418
October 2010|October 2010|Report 28998|Motorist has possible roadside sighting at night west of Alliance|Stark County|2010-10-22|-81.26729|40.90177
September 2007|September 2007|Report 29018|Woman recounts possible early evening sighting near Saybrook|Ashtabula County|2007-09-22|-80.84143|41.81429
August 2011|August 2011|Report 30369|Photo of a possible footprint taken by campers in the Fort Hill Area|Adams County|2011-08-08|-83.40022|39.11929
June 2009|June 2009|Report 31000|Possible night time encounter while fishing near Atwater|Portage County|2009-06-17|-81.11617|41.13183
August 2011|August 2011|Report 31246|Possible nightime encounter while fishing at Mogadore Reservoir|Portage County|2011-08-17|-81.36305|41.06194
July 2010|July 2010|Report 31439|Possible rock throwing display while night fishing at Salt Fork State Park|Guernsey County|2010-07-18|-81.4936|40.11682
January 2013|January 2013|Report 38725|Possible footprints found by a tree trimming crew on a road near Norwalk|Erie County|2013-01-02|-82.34181|41.17222
July 1986|July 1986|Report 40040|Man recalls possible sighting while driving at night next to the Ravenna Arsenal|Portage County|1986-07-15|-81.03764|41.18518
March 2013|March 2013|Report 40360|Possible daylight sighting along I-90 near Geneva|Ashtabula County|2013-03-14|-80.98022|41.76702
March 2013|March 2013|Report 40619|Possible daylight sighting while walking a dog on a bikeway near Jamestown|Greene County|2013-03-16|-83.7278|39.6543
March 2012|March 2012|Report 40715|Possible daylight sighting by a passenger traveling along I-80 over the Meander Creek Reservoir|Mahoning County|2012-03-24|-80.14099|41.11447
May 2013|May 2013|Report 41270|Possible daylight sighting while driving in farm country near Nashville|Holmes County|2013-05-27|-82.14194|40.59307
June 2013|June 2013|Report 41452|Couple flees their camp site after a possible late night encounter at Salt Fork State Park|Guernsey County|2013-06-17|-81.50403|40.12719
June 2013|June 2013|Report 41774|Woman is startled after seeing a face with yellow eyes peering into her kitchen window near Valley City|Medina County|2013-06-25|-81.91616|41.22248
April 2013|April 2013|Report 42022|Possible nighttime encounter near Spencer leaves three men startled|Medina County|2013-04-13|-82.07824|41.11417
